refDate,group,volumeIndex,yoyChange
2024-07-01,Furniture and Fixtures,91.0,7.81990521327014
2024-08-01,Furniture and Fixtures,93.6,8.458864426419455
2024-09-01,Furniture and Fixtures,93.2,1.1943539630836053
2024-10-01,Furniture and Fixtures,94.2,3.9735099337748547
2024-11-01,Furniture and Fixtures,86.0,-9.090909090909083
2024-12-01,Furniture and Fixtures,91.4,-7.396149949341435
2025-01-01,Furniture and Fixtures,99.8,9.670329670329657
2025-02-01,Furniture and Fixtures,91.2,-4.9009384775808185
2025-03-01,Furniture and Fixtures,95.9,0.10438413361169019
2025-04-01,Furniture and Fixtures,92.7,2.4309392265193353
2025-05-01,Furniture and Fixtures,96.3,8.813559322033893
2025-06-01,Furniture and Fixtures,92.3,2.328159645232808
2025-07-01,Furniture and Fixtures,92.6,1.758241758241752
2025-08-01,Furniture and Fixtures,84.6,-9.615384615384615
2025-09-01,Furniture and Fixtures,82.1,-11.909871244635205
2025-10-01,Furniture and Fixtures,87.3,-7.32484076433122
2025-11-01,Furniture and Fixtures,88.4,2.7906976744186185
